Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Analisis faktor-faktor harga obligasi perusahaan keuangan di bursa efek Indonesia,https://garuda.kemdikbud.go.id/documents/detail/1054587,10.55963/jraa.v9i2.461,True,,2022,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Riset Akuntansi dan Auditing,False,,"-, Siti Resmi"
Faktor-Faktor Keuangan dan Peringkat Obligasi,http://ojsapaji.org/index.php/apaji/article/view/36,10.35593/apaji.v4i1.36,True,Faktor-Faktor Keuangan dan Peringkat Obligasi.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Accounting Profession Journal,True,Scholar,"Pradnyawati, Sagung Oka"
"Pengaruh profitabilitas, likuiditas, leverage, umur obligasi dan ukuran perusahaan terhadap peringkat obligasi pada sektor keuangan yang terdapat di bei tahun 2015 …",https://fe.ummetro.ac.id/ejournal/index.php/JM/article/view/443,10.24127/jm.v14i1.443,True,Pengaruh profitabilitas_ likuiditas_ leverage_ umur obligasi dan ukuran perusahaan terhadap peringkat obligasi pada sektor keuangan yang terdapat di bei tahun 2015__.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",DERIVATIF: Jurnal Manajemen,True,Scholar,"Darmawan, Akhmad and Al Fayed, Yudith Foran and Bagis, Fatmah and Pratama, Bima Cininttya"
Pengaruh Maturity Peringkat Obligasi dan Debt to Equity Ratio Terhadap Yield to Maturity Obligasi Pada Bank Umum yang Terdaftar di Bursa Efek Indonesia,https://repositori.uma.ac.id/handle/123456789/12333,10.33603/jka.v3i1.2030,True,Pengaruh Maturity Peringkat Obligasi dan Debt to Equity Ratio Terhadap Yield to Maturity Obligasi Pada Bank Umum yang Terdaftar di Bursa Efek Indonesia.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Kajian Akuntansi,True,Scholar,"Dayanti, Novi and Janiman, Janiman"
"Pengaruh Leverage, Likuiditas Dan Profitabilitas Terhadap Peringkat Obligasi Pada Perusahaan Manufaktur Yang Terdaftar Di PT. Pefindo Periode 2015-2019",https://e-journal.sastra-unes.com/index.php/JIPS/article/view/456,10.24912/jpa.v5i3.25255,True,Pengaruh Leverage_ Likuiditas Dan Profitabilitas Terhadap Peringkat Obligasi Pada Perusahaan Manufaktur Yang Terdaftar Di PT. Pefindo Periode 2015-2019.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Paradigma Akuntansi,True,Scholar,"Thosen, Ewaldo Evan and Dermawan, Elizabeth Sugiarto"
"Pengaruh profitabilitas, likuiditas, maturity dan jaminan terhadap peringkat obligasi tertinggi pada sektor keuangan di Bursa Efek Indonesia",http://download.garuda.kemdikbud.go.id/article.php?article=1370287&val=989&title=The%20Effect%20of%20Profitability%20Liquidity%20Maturity%20And%20Assurance%20Against%20Highest%20Bond%20Ranking%20In%20Financial%20Sector%20In%20Indonesia%20Stock%20Exchange,,False,Pengaruh profitabilitas_ likuiditas_ maturity dan jaminan terhadap peringkat obligasi tertinggi pada sektor keuangan di Bursa Efek Indonesia.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,DA Hasan;IM Dana
Kajian Hukum Penerbitan dan Penyelesaian Sengketa Obligasi Daerah,http://download.garuda.kemdikbud.go.id/article.php?article=949924&val=14663&title=KAJIAN%20HUKUM%20PENERBITANDAN%20PENYELESAIAN%20SENGKETAOBLIGASI%20DAERAH,,False,Kajian Hukum Penerbitan dan Penyelesaian Sengketa Obligasi Daerah.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,CY Serfiyani;I Hariyani;MH SH
Pengaruh Rasio Keuangan dan Pertumbuhan Perusahaan Terhadap Peringkat Obligasi Syariah,https://www.academia.edu/download/72445004/pdf.pdf,10.28926/sinda.v1i1.45,True,,2021,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",SINDA: Comprehensive Journal of Islamic Social Studies,False,,"Murdinar, Hardining Estu and Ulum, Ludfi Hidayatul and Badarudin, Muhamad Sofyan"
Pengaruh leverage dan likuiditas terhadap peringkat obligasi: studi kasus perusahaan non keuangan di Indonesia,http://repository.ubharajaya.ac.id/5854/1/PENGARUH%20LEVERAGE%20DAN%20LIKUIDITAS%20TERHADAP%20PERINGKAT.pdf,,False,Pengaruh leverage dan likuiditas terhadap peringkat obligasi_ studi kasus perusahaan non keuangan di Indonesia.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,WW Hidayat
Sukuk (obligasi Syariah) dalam perspektif keuangan Islam,https://ejournal.unzah.ac.id/index.php/assyariah/article/view/120,10.36835/assyariah.v5i2.120,True,Sukuk _obligasi Syariah_ dalam perspektif keuangan Islam.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Asy-Syari’ah : Jurnal Hukum Islam,True,Scholar,Maula Nasrifah
Pengaruh Laverage Maturity dan Size Perusahaan Terhadap Yield Obligasi Dengan Peringkat Obligasi Sebagai Variabel Intervening,https://ojs.unsiq.ac.id/index.php/jematech/article/view/574,10.32500/jematech.v2i1.574,True,,2019,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Journal of Economic, Management, Accounting and Technology",False,,"Faizah, Yuniar Laeli Nur"
Confirmatory Faktor Analisis Fluktuasi Harga Obligasi Pada Perusahaan Perbankan Indonesia,http://jurnal.fisarresearch.or.id/index.php/salman/article/view/25,,False,Confirmatory Faktor Analisis Fluktuasi Harga Obligasi Pada Perusahaan Perbankan Indonesia.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,FA Nasution
Kepemilikan investasi obligasi perusahaan perbankan di Indonesia: dampak penerapan PSAK 71,http://ejournal.stiejb.ac.id/index.php/fintax/article/view/126,10.31258/jc.2.1.122-142,True,Kepemilikan investasi obligasi perusahaan perbankan di Indonesia_ dampak penerapan PSAK 71.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",CURRENT: Jurnal Kajian  Akuntansi dan Bisnis Terkini,True,Scholar,"Firmansyah, Amrie and Nizar Arifullah, Muhammad"
"Pengaruh tingkat suku bunga, inflasi, Debt to equity ratio, dan ukuran perusahaan terhadap yield obligasi pada perusahaan yang terdaftar di bursa efek Indonesia …",https://ejournal.atmajaya.ac.id/index.php/JM/article/view/97,10.46799/jsa.v4i12.923,True,,2023,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Syntax Admiration,False,,"Trisnawati, Intan"
"Pengaruh saham syariah, obligasi syariah, reksadana syariah dan inflasi terhadap pertumbuhan ekonomi indonesia periode 2011-2017",http://e-repository.perpus.uinsalatiga.ac.id/id/eprint/5281,10.35870/jemsi.v9i6.1718,True,,2023,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","JEMSI (Jurnal Ekonomi, Manajemen, dan Akuntansi)",False,,"Nurwita and Fajri, Ikhsan and Zuliani and Zulfan Yusuf and Yuni Ayu Safitri"
"Pengaruh maturity, peringkat obligasi, dan debt to equity ratio terhadap yield to maturity obligasi",https://jurnal.ugj.ac.id/index.php/jka/article/view/2030,10.33603/jka.v3i1.2030,True,Pengaruh maturity_ peringkat obligasi_ dan debt to equity ratio terhadap yield to maturity obligasi.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Kajian Akuntansi,True,Scholar,"Dayanti, Novi and Janiman, Janiman"
Faktor-Faktor Determinan Peringkat Obligasi Perusahaan Go Public Perusahaan Non-Keuangan di Indonesia,https://ejournal.upi.edu/index.php/JRAK/article/view/11807/0,10.34208/ejatsm.v2i4.1823,True,Faktor-Faktor Determinan Peringkat Obligasi Perusahaan Go Public Perusahaan Non-Keuangan di Indonesia.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",E-Jurnal Akuntansi TSM,True,Scholar,"Liana, Sherly and Sanjaya, Riki"
"Pengaruh inflasi, suku bunga, kurs, coupon rate, dan likuiditas obligasi terhadap harga obligasi pemerintah (surat utang negara) Periode 2014-2016",https://garuda.kemdikbud.go.id/documents/detail/2213685,10.51454/jimsh.v2i2.35,True,,2021,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Ilmu Manajemen Sosial Humaniora (JIMSH),False,,"Azizah Rasudu, Nur"
"Pengaruh Likuiditas, Profitabilitas Dan Leverage Terhadap Peringkat Obligasi Perusahaan Di Indonesia",http://jurnal.stieww.ac.id/index.php/jrm/article/view/201,10.32477/jrm.v7i2.201,True,Pengaruh Likuiditas_ Profitabilitas Dan Leverage Terhadap Peringkat Obligasi Perusahaan Di Indonesia.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Riset Manajemen Sekolah Tinggi Ilmu Ekonomi Widya Wiwaha Program Magister Manajemen,True,Scholar,"Wibowo, Agung Edy and Linawati, Linawati"
"Pengaruh Inflasi, Likuiditas, Kurs, Maturitas, Credit Default Swap, IHSG dan Profit Terhadap Obligasi Korporasi di Indonesia dengan Metode Data Panel",https://sj.eastasouth-institute.com/index.php/sak/article/view/9,,False,Pengaruh Inflasi_ Likuiditas_ Kurs_ Maturitas_ Credit Default Swap_ IHSG dan Profit Terhadap Obligasi Korporasi di Indonesia dengan Metode Data Panel.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,L Ernawati
ANALISIS PERINGKAT OBLIGASI PADA SEKTOR INDUSTRI MANUFAKTUR,http://tahtamedia.co.id/index.php/issj/article/view/122,,False,ANALISIS PERINGKAT OBLIGASI PADA SEKTOR INDUSTRI MANUFAKTUR.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,S Azahro;S Amelia;G Djuanda
Penerapan Sukuk Dan Obligasi Syariah Di Indonesia,https://jurnal.staihas.ac.id/wp-content/uploads/2020/04/Hapil-Hanapi-Musyarokah-okt-2019.pdf,,False,Penerapan Sukuk Dan Obligasi Syariah Di Indonesia.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,H Hanapi
"Pengaruh Likuiditas, Leverage, Ukuran Perusahaan, Reputasi Auditor Dan Peringkat Obligasi Terhadap Harga Obligasi",https://jbe-upiyptk.org/ojs/index.php/jbeupiyptk/article/view/120,10.35134/jbeupiyptk.v4i3.120,True,,2019,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Business and Economics (JBE) UPI YPTK,False,,"Maskami, Sukma"
"Bank Syariah, Saham Syariah, Obligasi Syariah dan Inflasi Terhadap Pertumbuhan Ekonomi",http://ejournal.kopertais4.or.id/pantura/index.php/qiema/article/view/3526,,False,Bank Syariah_ Saham Syariah_ Obligasi Syariah dan Inflasi Terhadap Pertumbuhan Ekonomi.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,M Ala'uddin
Analisis Peringkat Obligasi Perusahaan Perbankan Yang Terdaftar Di Pefindo,http://ejournal-ibik57.ac.id/index.php/mediastima/article/view/423,10.24912/je.v26i11.771,True,Analisis Peringkat Obligasi Perusahaan Perbankan Yang Terdaftar Di Pefindo.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Ekonomi,True,Scholar,"Susanto Salim, Veliana"
"Pengaruh likuiditas, leverage, rating obligasi syariah, risiko obligasi syariah terhadap yield obligasi syariah (sukuk)",http://journal.upgris.ac.id/index.php/stability/article/view/3226,10.26877/sta.v1i2.3226,True,,2018,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Stability: Journal of Management and Business,False,,"Noviana, Linda and Solovida, Grace Tianna"
Pengaruh Kinerja Keuangan Terhadap Peringkat Obligasi dengan Manajemen Laba sebagai Variabel Intervening pada Perusahaan Manufaktur yang …,https://www.academia.edu/download/72340859/1006.pdf,10.32493/jabi.v1i1.y2018.p1-23,True,,2018,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",JABI (Jurnal Akuntansi Berkelanjutan Indonesia),False,,"Prastiani, Siti Chaerunisa"
"Analisis Dampak Likuiditas, Leverage dan Ukuran Perusahaan Terhadap Peringkat Obligasi",https://jurnal.umj.ac.id/index.php/JAGo/article/view/8088,10.31963/akunsika.v2i2.2695,True,Analisis Dampak Likuiditas_ Leverage dan Ukuran Perusahaan Terhadap Peringkat Obligasi.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",AKUNSIKA: Jurnal Akuntansi dan Keuangan,True,Scholar,"Meidiyustiani, Rinny and Oktaviani, Retno Fuji and Niazi, Hakam Ali"
"Pengaruh Ukuran Perusahaan, Debt To Equity Ratio, Tingkat Suku Bunga, Peringkat Obligasi Terhadap Yield To Maturity (Ytm) Obligasi Perusahaan",https://jurnal.buddhidharma.ac.id/index.php/akunto/article/view/945,,False,Pengaruh Ukuran Perusahaan_ Debt To Equity Ratio_ Tingkat Suku Bunga_ Peringkat Obligasi Terhadap Yield To Maturity _Ytm_ Obligasi Perusahaan.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,A Nuratriningrum;MD Sukamto;H Komarudin
Pengukuran Value at-Risk pada Portofolio Obligasi dengan Metode Varian-Kovarian,https://ejournal3.undip.ac.id/index.php/gaussian/article/view/29012,10.14710/j.gauss.v9i4.29012,True,,2020,"https://scholar.google.com/scholar?hl=en&q=obligasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal  Gaussian,False,,"Anam, Khoirul and Maruddani, Di Asih I and Kartikasari, Puspita"
